x,y,r,g,b,opacity
19,8,33,59,178,1.0
20,8,33,59,178,1.0
21,8,33,59,178,1.0
22,8,33,59,178,1.0
23,8,33,59,178,1.0
24,8,32,58,178,1.0
25,8,33,59,178,1.0
26,8,33,59,178,1.0
27,8,33,59,178,1.0
28,8,33,59,178,1.0
29,8,33,59,178,1.0
30,8,33,59,178,1.0
31,8,33,59,178,1.0
32,8,33,59,178,1.0
33,8,33,58,177,1.0
34,8,33,59,178,1.0
35,8,33,59,178,1.0
36,8,33,59,178,1.0
37,8,33,59,178,1.0
38,8,33,59,178,1.0
39,8,33,59,178,1.0
40,8,33,59,178,1.0
41,8,33,58,178,1.0
42,8,33,59,178,1.0
43,8,33,59,178,1.0
44,8,33,59,178,1.0
45,8,33,59,178,1.0
46,8,33,59,178,1.0
47,8,33,59,178,1.0
48,8,33,59,178,1.0
49,8,33,59,177,1.0
50,8,32,59,177,1.0
51,8,33,58,177,1.0
52,8,33,58,177,1.0
53,8,33,58,177,1.0
54,8,33,59,178,1.0
55,8,33,59,178,1.0
56,8,33,59,178,1.0
57,8,33,59,178,1.0
58,8,33,59,178,1.0
59,8,32,59,177,1.0
60,8,33,59,178,1.0
61,8,33,59,178,1.0
62,8,32,59,177,0.9
63,8,32,59,177,0.4
64,8,32,59,177,0.0
79,8,32,59,178,0.1
80,8,33,59,178,0.6
81,8,33,59,177,1.0
82,8,33,59,178,1.0
83,8,33,59,177,1.0
84,8,32,59,177,1.0
85,8,33,58,177,1.0
86,8,33,58,177,1.0
87,8,33,59,178,1.0
88,8,33,59,178,1.0
89,8,33,59,178,1.0
90,8,33,59,178,1.0
91,8,33,59,178,1.0
92,8,32,58,177,1.0
93,8,33,58,177,1.0
94,8,33,58,177,1.0
95,8,32,58,177,1.0
96,8,32,58,177,1.0
97,8,33,59,177,1.0
98,8,33,58,177,1.0
99,8,33,58,178,1.0
100,8,33,58,177,1.0
101,8,33,59,177,1.0
102,8,33,58,178,1.0
103,8,33,58,177,1.0
104,8,33,59,178,1.0
105,8,33,59,177,1.0
106,8,32,58,177,1.0
107,8,32,58,177,1.0
108,8,33,58,177,1.0
109,8,33,58,177,1.0
110,8,33,58,177,1.0
111,8,33,58,177,1.0
112,8,32,58,177,1.0
113,8,32,58,177,1.0
114,8,32,58,177,1.0
115,8,33,58,178,1.0
116,8,33,58,177,1.0
117,8,32,58,177,1.0
118,8,33,58,178,1.0
119,8,33,58,178,1.0
120,8,33,58,177,1.0
121,8,33,59,178,1.0
122,8,33,59,177,1.0
123,8,32,58,177,1.0
124,8,32,58,177,1.0
125,8,33,58,177,1.0
126,8,32,58,177,1.0
127,8,32,58,178,0.7
128,8,32,58,178,0.2
129,8,32,58,178,0.0
12,9,32,58,177,0.3
13,9,33,58,178,0.8
14,9,33,59,178,0.9
15,9,32,59,177,0.9
16,9,33,59,178,0.9
17,9,33,59,178,0.9
18,9,33,59,178,0.9
19,9,33,59,177,0.9
20,9,33,58,178,0.9
21,9,32,59,177,0.9
22,9,33,59,178,0.9
23,9,33,59,178,0.9
24,9,33,58,177,0.9
25,9,33,58,177,0.9
26,9,33,58,178,0.9
27,9,33,59,178,0.9
28,9,33,59,178,0.9
29,9,33,59,178,0.9
30,9,33,59,178,0.9
31,9,33,59,178,1.0
32,9,33,59,178,1.0
33,9,33,58,177,1.0
34,9,33,59,177,1.0
35,9,33,59,178,1.0
36,9,33,59,178,1.0
37,9,33,59,178,1.0
38,9,33,59,178,1.0
39,9,33,59,178,1.0
40,9,33,59,178,1.0
41,9,33,58,177,1.0
42,9,33,58,177,1.0
43,9,33,58,178,1.0
44,9,33,59,178,1.0
45,9,33,59,178,1.0
46,9,33,59,178,1.0
47,9,33,59,177,1.0
